Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2019","2019","tonnes","22159","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2019","2019","1000 No","443181","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1129","Fat, camels","2019","2019","tonnes","257","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","869","Fat, cattle","2019","2019","tonnes","2340","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1019","Fat, goats","2019","2019","tonnes","1751","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","979","Fat, sheep","2019","2019","tonnes","4849","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2019","2019","tonnes","15660","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2019","2019","tonnes","1239","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1127","Meat, camel","2019","2019","tonnes","3667","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","867","Meat, cattle","2019","2019","tonnes","95398","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1058","Meat, chicken","2019","2019","tonnes","28493","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1163","Meat, game","2019","2019","tonnes","8015","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1017","Meat, goat","2019","2019","tonnes","47670","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","977","Meat, sheep","2019","2019","tonnes","86203","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2019","2019","tonnes","6809","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2019","2019","tonnes","1992114","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2019","2019","tonnes","118635","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2019","2019","tonnes","171807","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2019","2019","tonnes","550","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2019","2019","tonnes","16740","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2019","2019","tonnes","9242","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2019","2019","tonnes","17600","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2019","2019","tonnes","500","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2019","2019","tonnes","7199","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2019","2019","tonnes","13649","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","987","Wool, greasy","2019","2019","tonnes","14722","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1062","Eggs, hen, in shell","2019","2019","tonnes","54527","","Official data"
"QL","Livestock Primary","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2019","2019","1000 No","865510","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2019","2019","tonnes","200","F","FAO estimate"
"QL","Livestock Primary","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2019","2019","1000 No","3120","F","FAO estimate"
"QL","Livestock Primary","3","Albania","5510","Production","869","Fat, cattle","2019","2019","tonnes","1593","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1019","Fat, goats","2019","2019","tonnes","302","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1037","Fat, pigs","2019","2019","tonnes","682","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","979","Fat, sheep","2019","2019","tonnes","973","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","919","Hides, cattle, fresh","2019","2019","tonnes","7619","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1182","Honey, natural","2019","2019","tonnes","4116","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1166","Meat nes","2019","2019","tonnes","166","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","867","Meat, cattle","2019","2019","tonnes","36709","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1058","Meat, chicken","2019","2019","tonnes","11633","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1017","Meat, goat","2019","2019","tonnes","8210","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1035","Meat, pig","2019","2019","tonnes","10232","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","977","Meat, sheep","2019","2019","tonnes","16678","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","951","Milk, whole fresh buffalo","2019","2019","tonnes","13","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","882","Milk, whole fresh cow","2019","2019","tonnes","946561","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1020","Milk, whole fresh goat","2019","2019","tonnes","83966","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","982","Milk, whole fresh sheep","2019","2019","tonnes","81669","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","868","Offals, edible, cattle","2019","2019","tonnes","4571","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1018","Offals, edible, goats","2019","2019","tonnes","2593","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1036","Offals, pigs, edible","2019","2019","tonnes","682","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","978","Offals, sheep,edible","2019","2019","tonnes","5212","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1025","Skins, goat, fresh","2019","2019","tonnes","1944","Im","FAO data based on imputation methodology"
